name trial difficulty fixations accuracy phase hit group
control1 1 700 7 399 before false control
control1 2 700 12 234 before false control
control1 3 700 5 18 before true control
control1 4 700 4 24 before true control
control1 5 700 11 560 before false control
control1 6 700 3 25 before true control
control1 7 700 10 429 before false control
control1 8 700 4 22 before true control
control1 9 700 2 23 before true control
control1 10 700 3 29 before true control
control1 11 690 3 45 before true control
control1 12 690 5 20 before true control
control1 13 690 1 25 before true control
control1 14 679 7 28 before true control
control1 15 679 4 32 before true control
control1 16 679 1 10 before true control
control1 17 679 2 41 before true control
control1 18 669 4 31 before true control
control1 19 669 2 27 before true control
control1 20 669 8 27 before true control
control1 21 669 5 40 before true control
control1 22 669 2 12 before true control
control1 23 669 2 66 before false control
control1 24 669 4 4 before true control
control1 25 669 4 39 before true control
control1 26 669 4 9 before true control
control1 27 659 2 66 before false control
control1 28 659 2 31 before true control
control1 29 659 2 23 before true control
control1 30 659 6 11 before true control
control1 31 649 5 21 before true control
control1 32 649 13 593 before false control
control1 33 649 5 22 before true control
control1 34 649 7 20 before true control
control1 35 649 1 440 before false control
control1 36 649 4 23 before true control
control1 37 649 4 10 before true control
control1 38 649 7 24 before true control
control1 39 649 2 15 before true control
control1 40 649 2 10 before true control
control1 41 700 2 8 training true control
control1 42 700 3 8 training true control
control1 43 700 4 32 training true control
control1 44 690 5 21 training true control
control1 45 690 4 17 training true control
control1 46 690 2 37 training true control
control1 47 679 5 7 training true control
control1 48 679 2 40 training true control
control1 49 679 2 7 training true control
control1 50 669 4 20 training true control
control1 51 669 5 15 training true control
control1 52 669 4 31 training true control
control1 53 659 1 21 training true control
control1 54 659 1 331 training false control
control1 55 659 4 30 training true control
control1 56 659 8 16 training true control
control1 57 659 6 53 training true control
control1 58 659 2 2 training true control
control1 59 659 3 7 training true control
control1 60 649 5 17 training true control
control1 61 649 11 222 training false control
control1 62 649 3 20 training true control
control1 63 649 1 50 training true control
control1 64 649 3 25 training true control
control1 65 639 3 37 training true control
control1 66 639 1 19 training true control
control1 67 639 5 7 training true control
control1 68 629 8 30 training true control
control1 69 629 5 9 training true control
control1 70 629 1 30 training true control
control1 71 629 1 58 training true control
control1 72 619 7 17 training true control
control1 73 619 7 9 training true control
control1 74 619 2 43 training true control
control1 75 619 3 42 training true control
control1 76 619 8 13 training true control
control1 77 619 4 1 training true control
control1 78 619 4 6 training true control
control1 79 619 7 5 training true control
control1 80 619 4 14 training true control
control1 81 619 2 16 training true control
control1 82 619 3 9 training true control
control1 83 609 5 36 training true control
control1 84 609 2 6 training true control
control1 85 609 7 17 training true control
control1 86 609 1 7 training true control
control1 87 609 4 7 training true control
control1 88 609 5 56 training true control
control1 89 599 6 19 training true control
control1 90 599 9 14 training true control
control1 91 599 7 85 training false control
control1 92 599 5 39 training true control
control1 93 599 5 20 training true control
control1 94 599 2 593 training false control
control1 95 599 2 5 training true control
control1 96 599 4 11 training true control
control1 97 599 1 8 training true control
control1 98 589 7 672 training false control
control1 99 589 6 11 training true control
control1 100 589 4 30 training true control
control1 101 589 9 321 training false control
control1 102 589 2 21 training true control
control1 103 589 1 4 training true control
control1 104 589 3 15 training true control
control1 105 579 5 23 training true control
control1 106 579 8 7 training true control
control1 107 579 9 23 training true control
